service group,department,organisation,staff group,metric,month
Corporate Support Services,Trustwide Schemes,Bank 00014,Administrative and Clerical,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank Nurses 75450,Nursing and Midwifery Registered,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Nursing and Midwifery Registered,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank 00014,Additional Clinical Services,Hires,48
Corporate Support Services,Trustwide Schemes,Bank 00014,Additional Clinical Services,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Additional Clinical Services,Hires,48
Corporate Support Services,Trustwide Schemes,Bank Nurses 75450,Additional Clinical Services,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank 00014,Nursing and Midwifery Registered,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Additional Clinical Services,Leavers,48
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Administrative and Clerical,Leavers,47
Corporate Support Services,Central DEPT,Medical Staff Bank 00505,Medical and Dental,Hires,46
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Nursing and Midwifery Registered,Hires,45
Corporate Support Services,Trustwide Schemes,Bank 00014,Administrative and Clerical,Hires,45
Corporate Support Services,Trustwide Schemes,Bank 00014,Estates and Ancillary,Hires,43
Corporate Support Services,Trustwide Schemes,Bank 00014,Estates and Ancillary,Leavers,43
Corporate Support Services,Trustwide Schemes,Bank 00014,Nursing and Midwifery Registered,Hires,43
Corporate Support Services,Trustwide Schemes,Bank Nurses 75450,Additional Clinical Services,Hires,41
Corporate Support Services,Estates and Facilities - SFT,Cleanliness 04210,Estates and Ancillary,Leavers,40
Corporate Support Services,Estates and Facilities - SFT,Cleanliness 04210,Estates and Ancillary,Hires,40
Neighbourhood Services,Mass Vaccination Programme,Mass Vaccination - West 00034,Additional Clinical Services,Leavers,39
Corporate Support Services,Central DEPT,Medical Staff Bank 00505,Medical and Dental,Leavers,39
Corporate Support Services,Trustwide Schemes,Bank Nurses 75450,Nursing and Midwifery Registered,Hires,39
SSL Corporate,SSL Facilities Soft FM Level 5,SSL Housekeeping & Domestic S75388,Estates and Ancillary,Hires,39
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Estates and Ancillary,Leavers,37
Medical Services,Acute/General Medicine DEPT,Acute Medical Unit 20201,Additional Clinical Services,Hires,35
CYP & Families Services,Maternity DEPT,Midwifery YDH 75738,Nursing and Midwifery Registered,Leavers,34
Surgical Services,Anaesthetics,Anaesthetic Medical Staff YDH 75820,Medical and Dental,Hires,34
Medical Services,Emergency Care DEPT,A&E Medical Staff 76202,Medical and Dental,Hires,33
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Allied Health Professionals,Leavers,33
Corporate Support Services,Trustwide Schemes,Bank 00014,Allied Health Professionals,Leavers,33
SSL Corporate,SSL Facilities Soft FM Level 5,SSL Catering S75318,Estates and Ancillary,Leavers,33
SSL Corporate,SSL Facilities Soft FM Level 5,SSL Housekeeping & Domestic S75388,Estates and Ancillary,Leavers,32
Corporate Support Services,Trustwide Schemes,Bank 00014,Allied Health Professionals,Hires,31
Surgical Services,Outpatients,Outpatients Admin 15001,Administrative and Clerical,Hires,31
SSL Corporate,SSL Facilities Soft FM Level 5,SSL Catering S75318,Estates and Ancillary,Hires,30
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Allied Health Professionals,Hires,30
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Administrative and Clerical,Hires,30
Clinical Support and Cancer Services,Therapies DEPT,MSK Physiotherapy 38250,Allied Health Professionals,Leavers,30
Clinical Support and Cancer Services,Oncology,Cancer Admin Support 76221,Administrative and Clerical,Leavers,30
Medical Services,Stroke,Dunkery Stroke & Neuro Unit 20601,Additional Clinical Services,Hires,30
Surgical Services,Anaesthetics,Anaesthetics Med Staff MPH 17002,Medical and Dental,Hires,29
Medical Services,Respiratory,Coleridge Respiratory Unit 20903,Additional Clinical Services,Hires,29
Neighbourhood Services,Mass Vaccination Programme,Mass Vaccination - West 00034,Administrative and Clerical,Leavers,29
Mental Health and Learning Disabilities,Talking Therapies,Talking Therapies Team 55304,Add Prof Scientific and Technic,Hires,28
CYP & Families Services,Medical Paediatrics,Paeds Medical Staffing MPH 43060,Medical and Dental,Hires,28
Surgical Services,Other Surgery,Elective Pathway Admin 75803,Administrative and Clerical,Leavers,28
Medical Services,Emergency Care DEPT,A&E Medical Staff 76202,Medical and Dental,Leavers,27
Neighbourhood Services,Integrated Team South Som,Dist Nurs South Somerset 61400,Nursing and Midwifery Registered,Leavers,27
Surgical Services,Outpatients,Outpatients Admin 15001,Administrative and Clerical,Leavers,27
CYP & Families Services,Maternity DEPT,Midwifery YDH 75738,Nursing and Midwifery Registered,Hires,27
Clinical Support and Cancer Services,Pharmacy DEPT,Pharmacy Staff 37000,Add Prof Scientific and Technic,Hires,27
Clinical Support and Cancer Services,Medical Imaging,Radiology - MPH 32000,Allied Health Professionals,Leavers,27
Medical Services,Endocrinology,Conservators Ward 20202,Additional Clinical Services,Hires,26
Corporate Support Services,Trustwide Schemes,Bank (Acute) 02002,Estates and Ancillary,Hires,26
Clinical Support and Cancer Services,Pharmacy DEPT,Pharmacy Staff 37000,Additional Clinical Services,Hires,26
Neighbourhood Services,Mass Vaccination Programme,Mass Vaccination - West 00034,Nursing and Midwifery Registered,Leavers,26
Clinical Support and Cancer Services,Pharmacy DEPT,Pharmacy Staff 37000,Add Prof Scientific and Technic,Leavers,26
Surgical Services,Anaesthetics,Anaesthetic Medical Staff YDH 75820,Medical and Dental,Leavers,26
Surgical Services,Anaesthetics,Anaesthetics Med Staff MPH 17002,Medical and Dental,Leavers,26
SSL Corporate,SSL Facilities Hard FM Level 5,SSL SSD S75826,Estates and Ancillary,Leavers,26
CYP & Families Services,Medical Acute,Gynaecology Medical Staff 75731,Medical and Dental,Hires,26
Medical Services,Acute/General Medicine DEPT,Portman Ward 11 20901,Additional Clinical Services,Hires,26
Surgical Services,Critical Care,ITU Ward MPH 17007,Nursing and Midwifery Registered,Leavers,25
Operational Management,Clinical Site Managers,Ward Clerks 75463,Administrative and Clerical,Leavers,25
Clinical Support and Cancer Services,Therapies DEPT,MSK Physiotherapy 38250,Allied Health Professionals,Hires,25
Medical Services,Respiratory,CLOSED - Barrington 10007,Additional Clinical Services,Hires,25
Medical Services,Acute/General Medicine DEPT,Acute Medical Unit 20201,Additional Clinical Services,Leavers,25
Mental Health and Learning Disabilities,Talking Therapies,Talking Therapies Team 55304,Add Prof Scientific and Technic,Leavers,25
Neighbourhood Services,Mass Vaccination Programme,Mass Vaccination - West 00034,Medical and Dental,Leavers,25
Clinical Support and Cancer Services,Therapies DEPT,Inpatient Therapists 75838,Allied Health Professionals,Hires,25
Neighbourhood Services,Int Team Taunton & West Som,Taunton Deane CMH Team For Older People 61503,Add Prof Scientific and Technic,Sickness,24
Neighbourhood Services,Intermediate Care DEPT,Bed Hub 65802,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Improvement,PMO Team 76007,Administrative and Clerical,Sickness,24
Neighbourhood Services,Integrated Team South Som,Rehab South Somerset 61401,Additional Clinical Services,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,Taunton Deane CMH Team For Older People 61503,Additional Clinical Services,Sickness,24
Corporate Support Services,Improvement,Improvement Board 00146,Allied Health Professionals,Sickness,24
Corporate Support Services,Improvement,Improvement Board 00146,Administrative and Clerical,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,Taunton Deane CMH Team For Older People 61503,Allied Health Professionals,Sickness,24
Neighbourhood Services,Intermediate Care DEPT,Bed Hub 65802,Administrative and Clerical,Sickness,24
Corporate Support Services,Experience & Learning,Inclusion 02052,Administrative and Clerical,Sickness,24
Corporate Support Services,GP Surgeries DEPT,Warwick House Medical Centre 63010,Administrative and Clerical,Sickness,24
Corporate Support Services,Experience & Learning,HR Advisor 02060,Administrative and Clerical,Sickness,24
Corporate Support Services,Infection Control,Control of Infection 00203,Administrative and Clerical,Sickness,24
Corporate Support Services,Experience & Learning,Freedom to Speak Up 02059,Administrative and Clerical,Sickness,24
Corporate Support Services,Infection Control,Control of Infection 00203,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,MLT Central,Medical Central Team 00307,Administrative and Clerical,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,Homeless / Rough Sleeper Team 00221,Administrative and Clerical,Sickness,24
Neighbourhood Services,Intermediate Care DEPT,D2A 00005,Administrative and Clerical,Sickness,24
Corporate Support Services,Information Governance,Patients Records 00405,Administrative and Clerical,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,Homeless / Rough Sleeper Team 00221,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Infection Control,Infection Control 75487,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,Living Better Nurses - Recharge 00301,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,T & WS Admin 61506,Administrative and Clerical,Sickness,24
Neighbourhood Services,Intermediate Care DEPT,D2A 00005,Additional Clinical Services,Sickness,24
Corporate Support Services,Experience & Learning,Colleague Support 02066,Additional Clinical Services,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,Taunton Integrated Rehabilitation Team 61502,Additional Clinical Services,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,Taunton Area Wellbeing Service 61500,Additional Clinical Services,Sickness,24
Corporate Support Services,Improvement,PMO Team 76007,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,Taunton Area Wellbeing Service 61500,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Experience & Learning,Colleague Support 02066,Administrative and Clerical,Sickness,24
Corporate Support Services,Improvement,PMO Team 76007,Allied Health Professionals,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,Taunton Deane CMH Team For Older People 61503,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Integrated Team Mendip,DN East Mendip 61200,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,Taunton Integrated Rehabilitation Team 61502,Allied Health Professionals,Sickness,24
Neighbourhood Services,Integrated Team South Som,South Somerset OPMH 61402,Add Prof Scientific and Technic,Sickness,24
Corporate Support Services,Experience & Learning,Learning And Development 02008,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Integrated Team Mendip,Mendip Older People 61204,Additional Clinical Services,Sickness,24
Neighbourhood Services,Integrated Team Mendip,Mendip Older People 61204,Allied Health Professionals,Sickness,24
Neighbourhood Services,Integrated Team Mendip,Mendip Older People 61204,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Finance,Financial Services 03005,Administrative and Clerical,Sickness,24
Neighbourhood Services,Integrated Team South Som,South Somerset OPMH 61402,Additional Clinical Services,Sickness,24
Corporate Support Services,Finance,Financial Management 03009,Administrative and Clerical,Sickness,24
Corporate Support Services,Experience & Learning,Patient Safety 02058,Administrative and Clerical,Sickness,24
Neighbourhood Services,Integrated Team South Som,Dist Nurs South Somerset 61400,Additional Clinical Services,Sickness,24
Neighbourhood Services,Integrated Team South Som,South Somerset OPMH 61402,Administrative and Clerical,Sickness,24
Corporate Support Services,Experience & Learning,Patient Safety 02058,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Integrated Team South Som,South Somerset Admin Team 61404,Administrative and Clerical,Sickness,24
Neighbourhood Services,Integrated Team South Som,Rehab South Somerset 61401,Allied Health Professionals,Sickness,24
Corporate Support Services,Experience & Learning,Resuscitation Team 02001,Allied Health Professionals,Sickness,24
Neighbourhood Services,Integrated Team South Som,Dist Nurs South Somerset 61400,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Experience & Learning,Wellbeing 02065,Administrative and Clerical,Sickness,24
Neighbourhood Services,Integrated Team South Som,Dist Nurs West South Somerset 61100,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Experience & Learning,Simulation 02070,Add Prof Scientific and Technic,Sickness,24
Neighbourhood Services,Integrated Team Mendip,Mendip Older People 61204,Add Prof Scientific and Technic,Sickness,24
Neighbourhood Services,Integrated Team South Som,South Somerset OPMH 61402,Allied Health Professionals,Sickness,24
Neighbourhood Services,Integrated Team Mendip,DN East Mendip 61200,Additional Clinical Services,Sickness,24
Neighbourhood Services,Integrated Team Mendip,Mendip Integrated Rehabilitation Central & West 61602,Additional Clinical Services,Sickness,24
Neighbourhood Services,Integrated Team Mendip,DN East Mendip 61200,Administrative and Clerical,Sickness,24
Corporate Support Services,Experience & Learning,Leadership & OD 02061,Administrative and Clerical,Sickness,24
Neighbourhood Services,Intensive Dementia DEPT,Intensive Dementia Support Service - East 67110,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Experience & Learning,Resuscitation Team 02001,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Integrated Team Mendip,DN West Mendip 61601,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Integrated Team Mendip,Mendip Int Team Admin Services 61212,Administrative and Clerical,Sickness,24
Neighbourhood Services,Intensive Dementia DEPT,Intensive Dementia Support Service - East 67110,Allied Health Professionals,Sickness,24
Neighbourhood Services,Intensive Dementia DEPT,Intensive Dementia Support Service - East 67110,Administrative and Clerical,Sickness,24
Neighbourhood Services,Intensive Dementia DEPT,Intensive Dementia Support Service - East 67110,Additional Clinical Services,Sickness,24
Corporate Support Services,Finance,Payroll 03004,Administrative and Clerical,Sickness,24
Neighbourhood Services,Integrated Team South Som,South Somerset OPMH 61402,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Integrated Team Mendip,Mendip Integrated Rehabilitation Central & West 61602,Allied Health Professionals,Sickness,24
Neighbourhood Services,Integrated Team Mendip,Mendip OPMH Team - West 61603,Allied Health Professionals,Sickness,24
Neighbourhood Services,Integrated Team South Som,South Somerset OPMH 61402,Estates and Ancillary,Sickness,24
Neighbourhood Services,Integrated Team Mendip,Mendip OPMH Team - West 61603,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Experience & Learning,Learning And Development 02008,Administrative and Clerical,Sickness,24
Corporate Support Services,Finance,Performance Mgt - Corp 03013,Administrative and Clerical,Sickness,24
Corporate Support Services,MLT Central,Medical Central Team 00307,Medical and Dental,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,Homeless / Rough Sleeper Team 00221,Additional Clinical Services,Sickness,24
Surgical Services,Vascular,Vascular Nurse 10013,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,DN Taunton 61501,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Post Covid-19 Recovery Clinic 67201,Allied Health Professionals,Sickness,24
Neighbourhood Services,Chard Community Hospital,Chard Administration 21540,Administrative and Clerical,Sickness,24
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Chronic Fatigue Syndrome 67200,Add Prof Scientific and Technic,Sickness,24
Corporate Support Services,Research and Development,Research Delivery 00136,Administrative and Clerical,Sickness,24
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Chronic Fatigue Syndrome 67200,Administrative and Clerical,Sickness,24
Corporate Support Services,Research and Development,Research Delivery 00136,Additional Clinical Services,Sickness,24
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Chronic Fatigue Syndrome 67200,Allied Health Professionals,Sickness,24
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Post Covid-19 Recovery Clinic 67201,Add Prof Scientific and Technic,Sickness,24
Corporate Support Services,Research and Development,Research & Development 75499,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Post Covid-19 Recovery Clinic 67201,Administrative and Clerical,Sickness,24
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Post Covid-19 Recovery Clinic 67201,Medical and Dental,Sickness,24
Neighbourhood Services,Carer Budget,Carer Assessment Team 61202,Administrative and Clerical,Sickness,24
Neighbourhood Services,Chronic Fatigue Syndrome DEPT,Post Covid-19 Recovery Clinic 67201,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Research and Development,Research & Development 75499,Administrative and Clerical,Sickness,24
Corporate Support Services,Research and Development,Research & Development 75499,Additional Clinical Services,Sickness,24
Corporate Support Services,Research and Development,RM&G 00135,Administrative and Clerical,Sickness,24
Neighbourhood Services,Complex Care DEPT,Complex Care 76010,Additional Clinical Services,Sickness,24
Corporate Support Services,Research and Development,RDS 00305,Administrative and Clerical,Sickness,24
Neighbourhood Services,Complex Care DEPT,Complex Care 76010,Medical and Dental,Sickness,24
Corporate Support Services,Procurement,Supply Chain 03007,Estates and Ancillary,Sickness,24
Neighbourhood Services,Complex Care DEPT,Complex Care 76010,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Research and Development,Research Delivery 00136,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Carer Budget,Carer Assessment Team 61202,Additional Clinical Services,Sickness,24
Neighbourhood Services,Crewkerne Community Hospital,Crewkerne Administration 21560,Administrative and Clerical,Sickness,24
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater Wards 21503,Additional Clinical Services,Sickness,24
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater Administration 21500,Administrative and Clerical,Sickness,24
Corporate Support Services,Resourcing,Talent Hub 00065,Administrative and Clerical,Sickness,24
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater Administration 21500,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater Medical 21504,Medical and Dental,Sickness,24
Corporate Support Services,Resourcing,Talent Hub 00065,Additional Clinical Services,Sickness,24
Corporate Support Services,Resourcing,Recruitment Advertising 75422,Administrative and Clerical,Sickness,24
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater OPD 21400,Additional Clinical Services,Sickness,24
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater OPD 21400,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Resourcing,Recruitment 02007,Administrative and Clerical,Sickness,24
Corporate Support Services,Resourcing,Medical Workforce 02006,Administrative and Clerical,Sickness,24
Neighbourhood Services,Carer Budget,Carer Assessment - CAMHS 61203,Additional Clinical Services,Sickness,24
Corporate Support Services,Resourcing,Futures Workforce 75521,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater Wards 21503,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Burnham on Sea Comm Hospital,Burnham Administration 21520,Administrative and Clerical,Sickness,24
Corporate Support Services,Resourcing,Futures Workforce 75521,Allied Health Professionals,Sickness,24
Corporate Support Services,Resourcing,Futures Workforce 75521,Administrative and Clerical,Sickness,24
Corporate Support Services,Resourcing,Flexible Workforce 02064,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Resourcing,Flexible Workforce 02064,Administrative and Clerical,Sickness,24
Neighbourhood Services,Burnham on Sea Comm Hospital,Burnham Wards 21523,Additional Clinical Services,Sickness,24
Neighbourhood Services,Burnham on Sea Comm Hospital,Burnham Wards 21523,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Procurement,Supply Chain 03007,Administrative and Clerical,Sickness,24
Corporate Support Services,Procurement,Procurement 03003,Administrative and Clerical,Sickness,24
Corporate Support Services,MLT Central,Medical Director 75337,Add Prof Scientific and Technic,Sickness,24
Neighbourhood Services,Intermediate Care DEPT,D2A 00005,Allied Health Professionals,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,District Nursing Nights 60040,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,Integ Admin BWater & Sedgemoor 61304,Administrative and Clerical,Sickness,24
Corporate Support Services,Medical Education Director of People,Post Grad Med Education - YDH 75516,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,North Sedgemoor Integrated Rehabilitation Team 61301,Additional Clinical Services,Sickness,24
Corporate Support Services,Medical Education Director of People,Post Grad Med Education - YDH 75516,Medical and Dental,Sickness,24
Corporate Support Services,Medical Education Director of People,Post Grad Med Education - YDH 75516,Administrative and Clerical,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,North Sedgemoor Integrated Rehabilitation Team 61301,Allied Health Professionals,Sickness,24
Corporate Support Services,Medical Education Director of People,Plymouth Undergraduate 00601,Medical and Dental,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,North Sedgemoor Older People Mental Health 61302,Add Prof Scientific and Technic,Sickness,24
Corporate Support Services,Medical Education Director of People,Plymouth Undergraduate 00601,Additional Clinical Services,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,District Nursing Nights 60040,Administrative and Clerical,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,North Sedgemoor Older People Mental Health 61302,Additional Clinical Services,Sickness,24
Corporate Support Services,Medical Education Director of People,Medical Undergraduates 75515,Medical and Dental,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,North Sedgemoor Older People Mental Health 61302,Allied Health Professionals,Sickness,24
Corporate Support Services,Medical Education Director of People,Medical Undergraduates 75515,Administrative and Clerical,Sickness,24
Corporate Support Services,Medical Education Director of People,GP Resident Doctor Rot 00300,Medical and Dental,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,North Sedgemoor Older People Mental Health 61302,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Medical Education Director of People,F2 GP Placement 75512,Medical and Dental,Sickness,24
Neighbourhood Services,Int Team Taunton & West Som,DN Taunton 61501,Additional Clinical Services,Sickness,24
Corporate Support Services,MLT Central,Medical Director 75337,Medical and Dental,Sickness,24
Corporate Support Services,Medical Education Director of People,Post Grad Medical Centre - MPH 02018,Administrative and Clerical,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,District Nursing Nights 60040,Additional Clinical Services,Sickness,24
Neighbourhood Services,Crewkerne Community Hospital,Crewkerne Wards 21563,Additional Clinical Services,Sickness,24
Corporate Support Services,Overseas DEPT,OSCE IR 75522,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Crewkerne Community Hospital,Crewkerne Wards 21563,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Overseas DEPT,Yeovil IR 75424,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Crewkerne Community Hospital,Med Comm Hosp Inp Crewkerne 21564,Medical and Dental,Sickness,24
Corporate Support Services,Overseas DEPT,Yeovil IR 75424,Administrative and Clerical,Sickness,24
Neighbourhood Services,Frome Community Hospital,Frome Administration 21600,Administrative and Clerical,Sickness,24
Neighbourhood Services,Frome Community Hospital,Frome Assessment Beds 20102,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Overseas DEPT,Yeovil IR 75424,Add Prof Scientific and Technic,Sickness,24
Neighbourhood Services,Frome Community Hospital,Frome Hospital Ambulatory Care 20103,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Frome Community Hospital,Frome Outpatients 21405,Additional Clinical Services,Sickness,24
Neighbourhood Services,Frome Community Hospital,Frome Wards 21603,Additional Clinical Services,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,DN North Sedgemoor 61300,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Frome Community Hospital,Frome Wards 21603,Administrative and Clerical,Sickness,24
Neighbourhood Services,Frome Community Hospital,Frome Wards 21603,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,IRT Rehab Clinical Specialists,IRT Rehab Clinical Specialists 69100,Add Prof Scientific and Technic,Sickness,24
Neighbourhood Services,IRT Rehab Clinical Specialists,IRT Rehab Clinical Specialists 69100,Allied Health Professionals,Sickness,24
Corporate Support Services,Medical Examiner,Medical Examiners 00311,Medical and Dental,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,DN Bridgwater Bay 61001,Additional Clinical Services,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,DN Bridgwater Bay 61001,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Medical Education Director of People,Somerset GP Education 75519,Administrative and Clerical,Sickness,24
Neighbourhood Services,Int Team N Sedge & B'Water,DN North Sedgemoor 61300,Additional Clinical Services,Sickness,24
Corporate Support Services,Medical Education Director of People,Plymouth Undergraduate 00601,Administrative and Clerical,Sickness,24
Neighbourhood Services,Intermediate Care DEPT,Pathway 2/3 65801,Administrative and Clerical,Sickness,24
Corporate Support Services,Experience & Learning,Colleague Support 02066,Add Prof Scientific and Technic,Sickness,24
Neighbourhood Services,Palliative Care DEPT,Palliative Care Nurses 76227,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Digital,Digital Programme 05003,Administrative and Clerical,Sickness,24
Neighbourhood Services,Serv Grp Mngmnt Neighbourhoods,Dementia Team - YDH 75486,Additional Clinical Services,Sickness,24
Neighbourhood Services,Serv Grp Mngmnt Neighbourhoods,Dementia Team - YDH 75486,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Serv Grp Mngmnt Neighbourhoods,Dementia Team 60151,Additional Clinical Services,Sickness,24
Neighbourhood Services,Serv Grp Mngmnt Neighbourhoods,Dementia Team 60151,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Serv Grp Mngmnt Neighbourhoods,Division Management ES 69000,Administrative and Clerical,Sickness,24
Neighbourhood Services,Serv Grp Mngmnt Neighbourhoods,Division Management ES 69000,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Digital,Digital Delivery 05015,Administrative and Clerical,Sickness,24
Corporate Support Services,Digital,Data Insights 05001,Administrative and Clerical,Sickness,24
Neighbourhood Services,Serv Grp Mngmnt Neighbourhoods,Neighbourhood Development Managers 69000,Allied Health Professionals,Sickness,24
Neighbourhood Services,Serv Grp Mngmnt Neighbourhoods,Neighbourhood Development Managers 69000,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Digital,Data Engineering 05008,Administrative and Clerical,Sickness,24
Neighbourhood Services,Serv Grp Mngmnt Neighbourhoods,Priory House 04540,Administrative and Clerical,Sickness,24
Neighbourhood Services,Serv Grp Mngmnt Neighbourhoods,Secondments within PCN 69003,Additional Clinical Services,Sickness,24
Neighbourhood Services,Shepton Mallet Comm Hospital,Shepton Mallet Administration 21640,Administrative and Clerical,Sickness,24
Corporate Support Services,Digital,Clinical Coding 05002,Administrative and Clerical,Sickness,24
Corporate Support Services,Digital,Clinical 05006,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Shepton Mallet Comm Hospital,Shepton Mallet Wards 21643,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Digital,Clinical 05006,Administrative and Clerical,Sickness,24
Corporate Support Services,Deputy Director of Nursing,Tobacco Reduction Programme 00205,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,South Petherton Comm Hospital,South Petherton Administration 20620,Administrative and Clerical,Sickness,24
Neighbourhood Services,South Petherton Comm Hospital,South Petherton Administration 20620,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Deputy Director of Nursing,Tobacco Reduction Programme 00205,Administrative and Clerical,Sickness,24
Neighbourhood Services,Palliative Care DEPT,Supportive & Palliative Care 35620,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Palliative Care DEPT,Palliative Care Medical Team 62010,Medical and Dental,Sickness,24
Neighbourhood Services,South Petherton Comm Hospital,South Petherton Outpatients Department 21408,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Digital,Management Information 75437,Administrative and Clerical,Sickness,24
Neighbourhood Services,NHS at Home,NHS @ Home - Frailty 60641,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,NHS at Home,NHS @ Home - Respiratory 60642,Additional Clinical Services,Sickness,24
