service group,department,organisation,staff group,metric,month
CYP & Families Services,Community Paediatrics,Paediatric Therapies Yeovil 42010,Administrative and Clerical,Hires,4
Surgical Services,Head & Neck,Blake Ward 12010,Additional Clinical Services,Hires,4
Surgical Services,Theatres & DSC,Theatre - Head And Neck 17016,Add Prof Scientific and Technic,Sickness,4
Corporate Support Services,Resourcing,Medical Rota Admin 75419,Administrative and Clerical,Hires,4
Corporate Support Services,Resourcing,Talent Hub 00065,Additional Clinical Services,Hires,4
CYP & Families Services,Somerset,Dental Access Centre - Bridgwater 44010,Additional Clinical Services,Leavers,4
Surgical Services,Head & Neck,Blake Ward 12010,Nursing and Midwifery Registered,Leavers,4
Mental Health and Learning Disabilities,Inpatients DEPT,Holford Ward Team 50170,Nursing and Midwifery Registered,Leavers,4
Neighbourhood Services,Shepton Mallet Comm Hospital,Shepton Mallet Administration 21640,Administrative and Clerical,Leavers,4
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater OPD 21400,Administrative and Clerical,Hires,4
Medical Services,Emergency Care DEPT,CYP - Childrens and young pers 76219,Nursing and Midwifery Registered,Hires,4
Medical Services,Cardiology,Clinical Investigations 76275,Administrative and Clerical,Hires,4
Neighbourhood Services,Serv Grp Mngmnt Neighbourhoods,Division Management ES 69000,Administrative and Clerical,Leavers,4
Neighbourhood Services,Serv Grp Mngmnt Neighbourhoods,Dementia Team 60151,Administrative and Clerical,Sickness,4
Surgical Services,Management & Admin CC/Theatres,Theatres Non-Clinical 75827,Administrative and Clerical,Hires,4
Medical Services,Emergency Care DEPT,CYP - Childrens and young pers 76219,Nursing and Midwifery Registered,Leavers,4
Mental Health and Learning Disabilities,Inpatients DEPT,Willow Ward Team 50190,Administrative and Clerical,Hires,4
Neighbourhood Services,Int Team N Sedge & B'Water,Integ Admin BWater & Sedgemoor 61304,Administrative and Clerical,Leavers,4
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater Administration 21500,Administrative and Clerical,Hires,4
Surgical Services,Private Patients,Parkside 00121,Administrative and Clerical,Hires,4
Neighbourhood Services,Intensive Dementia DEPT,Intensive Dementia Support Service - East 67110,Administrative and Clerical,Leavers,4
Corporate Support Services,Commercial,Emerg Role Allocation System 00114,Nursing and Midwifery Registered,Sickness,4
Mental Health and Learning Disabilities,Learning Difficulties,Learning Disabilities East 53200,Administrative and Clerical,Leavers,4
Neighbourhood Services,Int Team N Sedge & B'Water,North Sedgemoor Integrated Rehabilitation Team 61301,Allied Health Professionals,Hires,4
CYP & Families Services,Somerset,Dental Access Centre - Taunton 44010,Medical and Dental,Leavers,4
Neighbourhood Services,West Mendip Community Hospital,West Mendip Nursing 20501,Nursing and Midwifery Registered,Leavers,4
CYP & Families Services,CAMHS Medical,Med - CAMHS - Taunton 41030,Medical and Dental,Hires,4
Neighbourhood Services,West Mendip Community Hospital,West Mendip Cathedral Ward 20501,Nursing and Midwifery Registered,Leavers,4
