level,metric,Naive,Naive/BottomUp,Naive/MinTrace_method-ols,Naive/MinTrace_method-mint_shrink
Total,rmse,5459.983734684845,5470.9259332985375,5460.036408590712,5273.063516194889
Total,mase,0.2793815019656919,0.2803877971368147,0.2793864065649007,0.3343906423599174
Service Group,rmse,650.1182615907001,651.2833501293138,650.1312397621026,1051.8853106723184
Service Group,mase,0.4304941180376465,0.42996193840930963,0.4305189921319327,1.0563070385672693
Staff Group,rmse,112.43731101297972,112.5040823193893,112.43769088102542,225.26043444218516
Staff Group,mase,0.5520130237380877,0.5621616753934527,0.554298213724933,2.179982615411913
Metric,rmse,35.73086745582055,35.73086745582055,35.75145443353737,103.00954180957767
Metric,mase,0.5968986314842896,0.5968986314842896,0.6581522748787139,6.293543258232476
Overall,rmse,103.42455087201606,103.53303093703056,103.4391766709996,195.2814063337439
Overall,mase,0.5764308619633467,0.5793328354747478,0.6181797930760234,4.889668412617983
